question,full_response,partial_response_time,total_response_time,Emotion Intensity
What are your business hours?,I currently don't have the specific business hours for YETI. Could you please clarify if you're asking about the hours for a specific store location or for customer support?,5.949000120162964,6.730159044265747,0.4899200000000001
Where are you located?,"We have several YETI retail locations where you can visit us. If you're in the United States, you can find a list of available stores using the link below. Look for the 'In-Store Customization' tag above the location name to find retail stores that offer in-store customization. 
US YETI Store Locations 
If you have any other questions or need further assistance, feel free to ask!",6.816472053527832,8.768175840377808,0.6000000000000001
How can I contact customer support?,"I can help with that! Are you looking for a phone number to call, or would you like to know about other ways to contact customer support?",7.375777006149292,8.072019100189209,0.6537600000000001
Do you have a mobile app?,I currently don't have specific information about a YETI mobile app. Could you please clarify if you're looking for an app related to a specific service or feature?,8.906812906265259,9.719712972640991,0.25456
What services do you offer?,"Thank you for your interest in YETI! We offer a variety of services and products to enhance your outdoor experiences. Here are some of the key services we provide: 
Customization Services: You can customize your YETI products at select retail locations. Look for the 'In-Store Customization' tag at our stores.
Sustainability Initiatives: We are committed to reducing material consumption while maintaining high-performing and durable products.
Product Registration: Register your YETI products through your account to receive a free sticker pack.
If you have any other questions or need further assistance, feel free to ask!",8.299379110336304,11.24215006828308,0.7438400000000001
Are you hiring?,"Thank you for your interest in joining the YETI family! All job openings and internship opportunities are posted on our Careers page. You can check out the latest opportunities by visiting the link below: 
Careers page 
If you have already applied, someone from our Talent Team will reach out when they have an update. Would you like to know more about our company or any specific roles?",7.734657049179077,9.8574800491333,0.7496
Do you offer international shipping?,"Yes, YETI does offer international shipping to select countries. Here are some key points about our international shipping options: 
You can access the International country selector on our website to see available shipping countries and shopping currencies.
Most products can be shipped internationally, but custom or licensed products are excluded.
We do not accept payment cards with international billing addresses for orders shipping to the U.S.
For countries not directly served by our online stores, you can find local dealers who ship internationally.
For more detailed information, you can visit our International FAQ page. 
YETI International Questions Answered 
Would you like to know more about specific countries or products?",13.706748008728027,17.08656883239746,0.1572
What payment methods do you accept?,"Thank you for your inquiry about payment methods at YETI. Here are the options we currently accept: 
Credit Cards: We accept major credit cards for orders placed on YETI.com.
PayPal: You can use PayPal for your purchases.
Klarna: We offer the option to pay with Klarna, which allows you to split your purchase into four equal installments. Klarna accepts most debit and credit cards, but not prepaid cards.
Please note that we do not accept multiple forms of payment during checkout. If you have any other questions or need further assistance, feel free to ask!",11.934622764587402,14.979795932769775,0.67216
Do you have a loyalty program?,"Thank you for your interest in YETI's loyalty program! While we don't have a traditional loyalty program, we do offer special discounts through partnerships and programs. Here are some options you might be interested in: 
YETI Field Guide: This is a program for employees of authorized YETI dealers, where they can earn points towards discounts by completing training modules on YETI products.
ID.Me Partnership: We offer special discounts to first responders, nurses, government employees, teachers, medical providers, and members of the military through ID.Me. You can apply for these discounts on their website.
YETI Nation: By joining YETI Nation, you can stay updated on future discounts, promotions, and new product releases.
If you have any other questions or need further assistance, feel free to ask!",10.529145240783691,14.393893241882324,0.7788
How do I sign up for your newsletter?,"You can sign up for our newsletter to receive the latest updates and promotions from YETI. Here's how you can do it: 
Visit the YETI website.
Scroll to the bottom of the page.
Look for the newsletter sign-up section.
Enter your email address and submit.
This way, you'll be notified about new products, promotions, and other exciting news from YETI. If you have any other questions or need further assistance, feel free to ask!",10.88033390045166,13.163268804550173,0.62216
How do I place an order?,"We are unable to place any orders on behalf customers due to security purposes. Protecting sensitive data such as card information is a top priority for us here at YETI. 
To place an order, navigate to YETI.com, locate the product(s) you'd like to purchase and select ""Add to Cart."" 
Once all desired products are in your cart, complete the check out process.",6.484281063079834,9.28083610534668,0.6226400000000001
Can I track my order?,Could you please provide your order number and the email address used to place the order?,7.247920989990234,7.504904985427856,0.30544
What should I do if my order is delayed?,"We do our best to ensure that your order makes it to you in tip top shape, however we understand that sometimes thing happen. 
If you are experiencing an issue with your order that you have placed and or received, navigate to the form below and select the topic that best fits what you are looking for and we'll make sure to assist you the best way we an. 
Contact YETI",6.793889999389648,10.096430778503418,0.76808
How can I change or cancel my order?,"We do our best to process and ship your order as quickly as possible, once the order is placed we are unable to edit your order. 
Please note, there is a short window of time (up to 1 hour) after order placement when your order can be cancelled.",6.67901611328125,8.57485318183899,0.5364
Do you offer express shipping?,"Yes, YETI offers express shipping options. Here are the details: 
Express Shipping: Available for contiguous U.S. orders selecting Express service at checkout.
Timeline: 1-2 business days
Cost: $30
Please note that express shipping is not available for customized products. If you have any other questions or need further assistance, feel free to ask!",10.998269081115724,12.531681776046751,0.65768
