question,full_response,partial_response_time,total_response_time,Cosine Similarity
What are the dimensions of the YETI Tundra 65?,"I understand you're looking for the dimensions of the YETI Tundra 65. Unfortunately, I couldn't find this information in our current resources. Could you please confirm if you're looking for the external or internal dimensions? This will help me assist you better.",7.419315099716187,8.756757020950317,0.5297519713293667
Does the YETI Rambler 36 oz come with a straw lid?,"Yes, the YETI Rambler 36 oz does come with a straw lid. However, please note that the straw lid is not recommended for use with hot beverages. If you have any other questions or need further assistance, feel free to ask!",6.90220308303833,8.164952993392944,0.759270154801055
What is the weight of the YETI Roadie 24 when empty?,"I understand you're looking for the weight of the YETI Roadie 24 when it's empty. Unfortunately, I couldn't find this information in our current resources. Could you please confirm if you're looking for the weight in pounds or kilograms? This will help me assist you better.",7.475247144699097,8.850792169570923,0.5876425747484951
Can the YETI Hopper Flip 18 hold wine bottles?,"The YETI Hopper Flip 18 can accommodate wine bottles. Specifically, it can fit large food storage containers, which suggests it has the capacity to hold wine bottles as well. If you have any more questions or need further assistance, feel free to ask!",6.947666168212891,8.23589301109314,0.6917615552756193
What materials are used in the YETI Daytrip Lunch Box?,"The YETI Daytrip Lunch Box is made with materials that are food safe, allowing fruits and subs to rest directly on the inside material. Additionally, it is anti-microbial, ensuring a hygienic environment for your food. If you have any more questions or need further assistance, feel free to ask!",8.359445095062256,9.78429913520813,0.4079410356649818
Is the YETI Rambler 14 oz stackable?,"Yes, the YETI Rambler 14 oz is stackable. Its stackable base allows mugs to nest perfectly, making it easy to store. If you have any more questions or need further assistance, feel free to ask!",9.742573022842407,10.79275107383728,0.5739454949916772
What colors are available for the YETI Tundra Haul?,"The YETI Tundra Haul is available in the following colors: 
Rescue Red
Charcoal
White
Tan
If you have any more questions or need further assistance, feel free to ask!",9.840918064117432,10.66728401184082,0.4846024590691331
Are YETI tumblers dishwasher safe?,"Yes, YETI tumblers are dishwasher safe. This includes those with the DuraSip Ceramic Lining, which is fused to the stainless steel and designed to withstand the dishwasher. If you have any more questions or need further assistance, feel free to ask!",10.493743896484377,11.680924892425535,0.5528314383248245
Does the YETI Camino Carryall float on water?,I understand you're asking about the YETI Camino Carryall. Could you please clarify if you're interested in knowing whether it floats on water or if you're asking about its waterproof capabilities? This will help me assist you better.,9.469966888427734,10.543081045150757,0.31480432115965284
What is the maximum temperature a YETI Rambler can handle?,"The YETI Rambler can handle a maximum temperature of 185°F (85°C) for hot liquids. It's important to ensure that hot liquids remain below the solid ring located beneath the threads and to always open carefully. If you have any more questions or need further assistance, feel free to ask!",9.639974117279053,11.105550050735474,0.4829654871222407
Is the YETI LoadOut GoBox currently in stock?,"The YETI LoadOut GoBox is available in various sizes, including the GoBox 15, GoBox 30, and GoBox 60. However, I don't have the current stock status. You can check availability on the YETI website or at authorized retailers. If you have any more questions or need further assistance, feel free to ask!",10.663365125656128,12.251118183135986,0.523203479505057
Are there any discounts on YETI Roadie coolers?,"Currently, there is a promotion on select YETI Roadie 24 Hard Coolers. To access the discount, you'll need to create an account or log in to your account prior to checkout. The offer is subject to availability, and YETI reserves the right to end or modify this offer at any time. Please note that licensed Roadie 24 Hard Coolers are excluded from this offer. If you have any more questions or need further assistance, feel free to ask!",12.039968729019163,14.400368928909302,0.3286337280725917
How much does the YETI Hopper M20 cost?,"The YETI Hopper M20 is priced at $325. If you have any more questions or need further assistance, feel free to ask!",13.529664039611816,14.029516220092772,0.31091974079335555
