Category,Question,cleaned_question,Cluster
Product Information,What are the dimensions of the YETI Tundra 65?,dimensions brand product 65,1
Product Information,Does the YETI Rambler 36 oz come with a straw lid?,brand product 36 oz come straw lid,0
Product Information,What is the weight of the YETI Roadie 24 when empty?,weight brand product 24 empty,4
Product Information,Can the YETI Hopper Flip 18 hold wine bottles?,brand product device 18 hold wine product,2
Product Information,What materials are used in the YETI Daytrip Lunch Box?,materials used brand product,0
Product Information,Is the YETI Rambler 14 oz stackable?,brand product 14 oz stackable,0
Product Information,What colors are available for the YETI Tundra Haul?,colors available brand product haul,4
Product Information,Are YETI tumblers dishwasher safe?,brand product dishwasher safe,0
Product Information,Does the YETI Camino Carryall float on water?,brand product carryall float water,0
Product Information,What is the maximum temperature a YETI Rambler can handle?,maximum temperature brand product handle,1
Pricing & Availability,Is the YETI LoadOut GoBox currently in stock?,brand loadout product currently stock,4
Pricing & Availability,Are there any discounts on YETI Roadie coolers?,discounts brand product product,4
Pricing & Availability,How much does the YETI Hopper M20 cost?,much brand product model cost,4
Pricing & Availability,Does YETI offer price matching?,brand offer price matching,4
Pricing & Availability,What is the price of a customized YETI Rambler?,price customized brand product,4
Pricing & Availability,Is there a price difference between the YETI Roadie 24 and 48?,price difference brand product 24 48,4
Pricing & Availability,Can I get a bulk discount on YETI coolers?,get bulk discount brand product,4
Pricing & Availability,Does YETI have seasonal sales?,brand seasonal sales,4
Pricing & Availability,Are YETI gift cards available for purchase?,brand gift cards available purchase,4
Pricing & Availability,How often does YETI restock limited edition colors?,often brand restock limited edition colors,4
Comparisons,What is the difference between the YETI Rambler 20 oz and 30 oz?,difference brand product 20 oz 30 oz,4
Comparisons,How does the YETI Camino compare to the YETI Sidekick Dry?,brand product compare brand sidekick dry,0
Comparisons,Is the YETI Tundra 75 more insulated than the Tundra 45?,brand product 75 insulated product 45,1
Comparisons,Which keeps ice longer: YETI Hopper M30 or YETI Tundra 35?,keeps ice longer brand product m30 brand product 35,1
Comparisons,What are the pros and cons of the YETI Daytrip Lunch Box versus the Lunch Bag?,pros cons brand product versus product,2
Comparisons,Is the YETI Rambler Stronghold Lid better than the MagSlider Lid?,brand product product lid better product lid,0
Comparisons,How does the YETI Panga Duffel compare to the YETI Crossroads Backpack?,brand product compare brand crossroads backpack,4
Comparisons,Does the YETI Tundra Haul have better wheels than the YETI GoBox?,brand product haul better wheels brand product,4
Comparisons,Which is better for hiking: YETI Hopper Flip 8 or 12?,better hiking brand product device 8 12,2
Comparisons,Is the YETI LoadOut Bucket more durable than standard 5-gallon buckets?,brand product durable standard 5gallon buckets,1
Warranties & Returns,How long is the warranty on YETI Tundra coolers?,long warranty brand product product,1
Warranties & Returns,Does the YETI warranty cover accidental drops?,brand warranty cover accidental drops,1
Warranties & Returns,Can I return a YETI Rambler if I used it once?,return brand product used,0
Warranties & Returns,What is the exchange policy for defective YETI products?,exchange policy defective brand products,3
Warranties & Returns,If my YETI zipper breaks is it covered under warranty?,brand zipper breaks covered warranty,1
Warranties & Returns,What proof do I need to submit a YETI warranty claim?,proof need submit brand warranty claim,1
Warranties & Returns,Can I return a YETI product if I lost the receipt?,return brand product lost receipt,3
Warranties & Returns,Does YETI offer a warranty extension for an additional fee?,brand offer warranty extension additional fee,1
Warranties & Returns,What should I do if my YETI cooler has a manufacturing defect?,brand product manufacturing defect,1
Warranties & Returns,Are personalized YETI products eligible for returns?,personalized brand products eligible returns,4
Care & Maintenance,How should I clean my YETI Sidekick Dry bag?,clean brand product,0
Care & Maintenance,Can I put my YETI Rambler in the microwave?,put brand product microwave,0
Care & Maintenance,What is the best way to remove stains from a YETI cooler?,best way remove stains brand product,0
Care & Maintenance,How do I remove mold from my YETI tumbler lid?,remove mold brand product lid,0
Care & Maintenance,What should I do if my YETI zipper gets stuck?,brand zipper gets stuck,1
Care & Maintenance,Can I use bleach to clean my YETI Hopper soft cooler?,use bleach clean brand product soft product,0
Care & Maintenance,What should I do if my YETI bottle cap gets a strange odor?,brand product cap gets strange odor,0
Care & Maintenance,Are there any cleaning products I should avoid using on my YETI?,cleaning products avoid using brand,0
Care & Maintenance,Can I put my YETI Panga Duffel in the washing machine?,put brand product washing machine,0
Care & Maintenance,What should I do if my YETIs insulation seems to be failing?,brand insulation seems failing,1
Multi-step Inquiries,Do YETI coolers have locks? If so are they included?,brand product locks included,4
Multi-step Inquiries,What YETI products come in navy blue? Do they all have the same finish?,brand products come navy blue finish,4
Multi-step Inquiries,Can I engrave a YETI Rambler? If so how much does it cost?,engrave brand product much cost,4
Multi-step Inquiries,Does the YETI Daytrip Lunch Bag have a magnetic closure? Can I wash it?,brand product product magnetic closure wash,0
Multi-step Inquiries,Are YETI tumblers double-walled? If so how does that help?,brand product doublewalled help,0
Multi-step Inquiries,What is the best YETI cooler for camping? Do any come with accessories?,best brand product camping come accessories,2
Multi-step Inquiries,Does YETI offer free shipping? Are there any conditions?,brand offer free shipping conditions,4
Multi-step Inquiries,What are the best-selling YETI products? Do they change seasonally?,bestselling brand products change seasonally,4
Multi-step Inquiries,Can I add ice packs to my YETI Hopper? Do they fit inside easily?,add ice packs brand product fit inside easily,1
Multi-step Inquiries,Does the YETI Roadie 48 have a drain plug? How does it work?,brand product 48 drain plug work,1
Follow-ups,You mentioned YETIs return policy—does it include free return shipping?,mentioned brand return policy—does include free return shipping,3
Follow-ups,You said the YETI Tundra is bear-proof—what certification does it have?,said brand product bearproof—what certification,1
Follow-ups,You said the YETI Panga is waterproof—up to what depth?,said brand panga waterproof—up depth,0
Follow-ups,You listed several YETI sizes—what is the most popular one?,listed several brand sizes—what popular one,4
Follow-ups,You mentioned custom engraving—how long does it take to ship?,mentioned custom engraving—how long take ship,3
Follow-ups,You said the YETI Rambler is durable—how does it compare to competitors?,said brand product durable—how compare competitors,1
Follow-ups,You said YETI bottles keep drinks cold—how many hours exactly?,said brand product keep drinks cold—how many hours exactly,1
Follow-ups,You listed colors for the YETI Hopper—will there be new ones soon?,listed colors brand product—will new ones soon,4
Follow-ups,You said the YETI Tundra has a drain plug—how easy is it to clean?,said brand product drain plug—how easy clean,0
Follow-ups,You mentioned an accessory for the YETI Camino—what is it?,mentioned accessory brand product—what,2
Order Status,Can you check my YETI order? I need to change the shipping address.,check brand order need change shipping address,3
Order Status,My YETI order has been delayed—can you give me an update?,brand order delayed—can give update,3
Order Status,I ordered a customized YETI Rambler—how long until it ships?,ordered customized brand product—how long ships,3
Order Status,Can I track my YETI order in real-time?,track brand order realtime,3
Order Status,Does YETI offer order cancellations before shipping?,brand offer order cancellations shipping,3
Escalation & Handoff,My YETI cooler arrived damaged—what do I do?,brand product arrived damaged—what,1
Escalation & Handoff,The engraving on my YETI Rambler is incorrect—how can I fix it?,engraving brand product incorrect—how fix,3
Escalation & Handoff,I was sent the wrong color YETI—can I exchange it?,sent wrong color brand—can exchange,3
Escalation & Handoff,The zipper on my YETI Hopper broke—can I get a replacement?,zipper brand product broke—can get replacement,1
Escalation & Handoff,My YETI order was lost in transit—can you resend it?,brand order lost transit—can resend,3
Error Handling,Does YETI make a solar-powered cooler?,brand make solarpowered product,0
Error Handling,Do you sell YETI products made from bamboo?,sell brand products made bamboo,4
Error Handling,Can I buy a YETI cooler that makes its own ice?,buy brand product makes ice,1
Error Handling,Do you have a YETI tumbler that changes colors with temperature?,brand product changes colors temperature,1
Error Handling,Is there a YETI water bottle that also charges my phone?,brand product also charges phone,2
