Category,Question,cleaned_question
Product Information,What are the dimensions of the YETI Tundra 65?,dimensions brand product 65
Product Information,Does the YETI Rambler 36 oz come with a straw lid?,brand product 36 oz come straw lid
Product Information,What is the weight of the YETI Roadie 24 when empty?,weight brand product 24 empty
Product Information,Can the YETI Hopper Flip 18 hold wine bottles?,brand product device 18 hold wine product
Product Information,What materials are used in the YETI Daytrip Lunch Box?,materials used brand product
Product Information,Is the YETI Rambler 14 oz stackable?,brand product 14 oz stackable
Product Information,What colors are available for the YETI Tundra Haul?,colors available brand product haul
Product Information,Are YETI tumblers dishwasher safe?,brand product dishwasher safe
Product Information,Does the YETI Camino Carryall float on water?,brand product carryall float water
Product Information,What is the maximum temperature a YETI Rambler can handle?,maximum temperature brand product handle
Pricing & Availability,Is the YETI LoadOut GoBox currently in stock?,brand loadout product currently stock
Pricing & Availability,Are there any discounts on YETI Roadie coolers?,discounts brand product product
Pricing & Availability,How much does the YETI Hopper M20 cost?,much brand product model cost
Pricing & Availability,Does YETI offer price matching?,brand offer price matching
Pricing & Availability,What is the price of a customized YETI Rambler?,price customized brand product
Pricing & Availability,Is there a price difference between the YETI Roadie 24 and 48?,price difference brand product 24 48
Pricing & Availability,Can I get a bulk discount on YETI coolers?,get bulk discount brand product
Pricing & Availability,Does YETI have seasonal sales?,brand seasonal sales
Pricing & Availability,Are YETI gift cards available for purchase?,brand gift cards available purchase
Pricing & Availability,How often does YETI restock limited edition colors?,often brand restock limited edition colors
Comparisons,What is the difference between the YETI Rambler 20 oz and 30 oz?,difference brand product 20 oz 30 oz
Comparisons,How does the YETI Camino compare to the YETI Sidekick Dry?,brand product compare brand sidekick dry
Comparisons,Is the YETI Tundra 75 more insulated than the Tundra 45?,brand product 75 insulated product 45
Comparisons,Which keeps ice longer: YETI Hopper M30 or YETI Tundra 35?,keeps ice longer brand product m30 brand product 35
Comparisons,What are the pros and cons of the YETI Daytrip Lunch Box versus the Lunch Bag?,pros cons brand product versus product
Comparisons,Is the YETI Rambler Stronghold Lid better than the MagSlider Lid?,brand product product lid better product lid
Comparisons,How does the YETI Panga Duffel compare to the YETI Crossroads Backpack?,brand product compare brand crossroads backpack
Comparisons,Does the YETI Tundra Haul have better wheels than the YETI GoBox?,brand product haul better wheels brand product
Comparisons,Which is better for hiking: YETI Hopper Flip 8 or 12?,better hiking brand product device 8 12
Comparisons,Is the YETI LoadOut Bucket more durable than standard 5-gallon buckets?,brand product durable standard 5gallon buckets
Warranties & Returns,How long is the warranty on YETI Tundra coolers?,long warranty brand product product
Warranties & Returns,Does the YETI warranty cover accidental drops?,brand warranty cover accidental drops
Warranties & Returns,Can I return a YETI Rambler if I used it once?,return brand product used
Warranties & Returns,What is the exchange policy for defective YETI products?,exchange policy defective brand products
Warranties & Returns,If my YETI zipper breaks is it covered under warranty?,brand zipper breaks covered warranty
Warranties & Returns,What proof do I need to submit a YETI warranty claim?,proof need submit brand warranty claim
Warranties & Returns,Can I return a YETI product if I lost the receipt?,return brand product lost receipt
Warranties & Returns,Does YETI offer a warranty extension for an additional fee?,brand offer warranty extension additional fee
Warranties & Returns,What should I do if my YETI cooler has a manufacturing defect?,brand product manufacturing defect
Warranties & Returns,Are personalized YETI products eligible for returns?,personalized brand products eligible returns
Care & Maintenance,How should I clean my YETI Sidekick Dry bag?,clean brand product
Care & Maintenance,Can I put my YETI Rambler in the microwave?,put brand product microwave
Care & Maintenance,What is the best way to remove stains from a YETI cooler?,best way remove stains brand product
Care & Maintenance,How do I remove mold from my YETI tumbler lid?,remove mold brand product lid
Care & Maintenance,What should I do if my YETI zipper gets stuck?,brand zipper gets stuck
Care & Maintenance,Can I use bleach to clean my YETI Hopper soft cooler?,use bleach clean brand product soft product
Care & Maintenance,What should I do if my YETI bottle cap gets a strange odor?,brand product cap gets strange odor
Care & Maintenance,Are there any cleaning products I should avoid using on my YETI?,cleaning products avoid using brand
Care & Maintenance,Can I put my YETI Panga Duffel in the washing machine?,put brand product washing machine
Care & Maintenance,What should I do if my YETIs insulation seems to be failing?,brand insulation seems failing
Multi-step Inquiries,Do YETI coolers have locks? If so are they included?,brand product locks included
Multi-step Inquiries,What YETI products come in navy blue? Do they all have the same finish?,brand products come navy blue finish
Multi-step Inquiries,Can I engrave a YETI Rambler? If so how much does it cost?,engrave brand product much cost
Multi-step Inquiries,Does the YETI Daytrip Lunch Bag have a magnetic closure? Can I wash it?,brand product product magnetic closure wash
Multi-step Inquiries,Are YETI tumblers double-walled? If so how does that help?,brand product doublewalled help
Multi-step Inquiries,What is the best YETI cooler for camping? Do any come with accessories?,best brand product camping come accessories
Multi-step Inquiries,Does YETI offer free shipping? Are there any conditions?,brand offer free shipping conditions
Multi-step Inquiries,What are the best-selling YETI products? Do they change seasonally?,bestselling brand products change seasonally
Multi-step Inquiries,Can I add ice packs to my YETI Hopper? Do they fit inside easily?,add ice packs brand product fit inside easily
Multi-step Inquiries,Does the YETI Roadie 48 have a drain plug? How does it work?,brand product 48 drain plug work
Follow-ups,You mentioned YETIs return policy—does it include free return shipping?,mentioned brand return policy—does include free return shipping
Follow-ups,You said the YETI Tundra is bear-proof—what certification does it have?,said brand product bearproof—what certification
Follow-ups,You said the YETI Panga is waterproof—up to what depth?,said brand panga waterproof—up depth
Follow-ups,You listed several YETI sizes—what is the most popular one?,listed several brand sizes—what popular one
Follow-ups,You mentioned custom engraving—how long does it take to ship?,mentioned custom engraving—how long take ship
Follow-ups,You said the YETI Rambler is durable—how does it compare to competitors?,said brand product durable—how compare competitors
Follow-ups,You said YETI bottles keep drinks cold—how many hours exactly?,said brand product keep drinks cold—how many hours exactly
Follow-ups,You listed colors for the YETI Hopper—will there be new ones soon?,listed colors brand product—will new ones soon
Follow-ups,You said the YETI Tundra has a drain plug—how easy is it to clean?,said brand product drain plug—how easy clean
Follow-ups,You mentioned an accessory for the YETI Camino—what is it?,mentioned accessory brand product—what
Order Status,Can you check my YETI order? I need to change the shipping address.,check brand order need change shipping address
Order Status,My YETI order has been delayed—can you give me an update?,brand order delayed—can give update
Order Status,I ordered a customized YETI Rambler—how long until it ships?,ordered customized brand product—how long ships
Order Status,Can I track my YETI order in real-time?,track brand order realtime
Order Status,Does YETI offer order cancellations before shipping?,brand offer order cancellations shipping
Escalation & Handoff,My YETI cooler arrived damaged—what do I do?,brand product arrived damaged—what
Escalation & Handoff,The engraving on my YETI Rambler is incorrect—how can I fix it?,engraving brand product incorrect—how fix
Escalation & Handoff,I was sent the wrong color YETI—can I exchange it?,sent wrong color brand—can exchange
Escalation & Handoff,The zipper on my YETI Hopper broke—can I get a replacement?,zipper brand product broke—can get replacement
Escalation & Handoff,My YETI order was lost in transit—can you resend it?,brand order lost transit—can resend
Error Handling,Does YETI make a solar-powered cooler?,brand make solarpowered product
Error Handling,Do you sell YETI products made from bamboo?,sell brand products made bamboo
Error Handling,Can I buy a YETI cooler that makes its own ice?,buy brand product makes ice
Error Handling,Do you have a YETI tumbler that changes colors with temperature?,brand product changes colors temperature
Error Handling,Is there a YETI water bottle that also charges my phone?,brand product also charges phone
