Category,Question
Product Information,What is the return policy for Amazon?
Product Information,Do you offer free shipping on all items?
Pricing & Availability,Is Amazon Prime available in my area?
Pricing & Availability,How much is the shipping cost for a standard order?
Comparisons,What is the difference between Amazon Prime and Amazon Prime Video?
Comparisons,How does Amazon Fresh differ from regular Amazon delivery?
Warranties & Returns,Can I return an item without the receipt?
Warranties & Returns,Do you offer a warranty on electronics?
Care & Maintenance,How do I clean my Kindle device?
Care & Maintenance,What should I do if my Alexa device isn't responding?
Multi-step Inquiries,How can I track my order? Has it shipped yet?
Follow-ups,You mentioned a price drop on an item—how do I get a refund for the difference?
Order Status,Where is my order? Can you give me a delivery estimate?
Escalation & Handoff,What do I do if my order was damaged during delivery?
Escalation & Handoff,Can you escalate my issue to a customer service representative?
Error Handling,Do you have a YETI mug with a built-in Bluetooth speaker?
Error Handling,Do you sel Yeti water botels?
